coral_id,bouyantweight_g,bouyantweight_redo_if_applicable,temp_c,date,group,air_temp_c,air_weight_g,fresh_temp_c,fresh_weight_g,salt_temp_c,salt_weight_g,salinity_ppt,density_aragonite,density_stopper,density_sw,vol_coral_cm3,dry_mass_coral_g
59,5.196,NA,23,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,2.7271387237099387,7.990516460470121
69,4.709,NA,23.1,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,2.4715350750481333,7.2415977698910305
49,5.948,NA,23.1,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,3.121828546694903,9.146957641816066
25,6.141,NA,23.1,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,3.2231252698812036,9.443757040751928
5,10.408,NA,23.1,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,5.462675103228068,16.005638052458238
85,6.408,NA,23.1,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,3.3632611511803865,9.854355172958533
52,4.263,NA,23.1,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,2.237450419394817,6.555729728826814
15,5.317,NA,23.2,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,2.790645995759381,8.176592767574988
26,5.063,NA,23.2,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,2.6573332098043534,7.785986304726756
103,6.021,NA,23.2,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,3.160142851319773,9.259218554366935
41,6.546,NA,23.2,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,3.4356909325260316,10.066574432301273
57,5.357,NA,23.2,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,2.811640135279858,8.238105596369985
90,5.477,NA,23.2,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,2.8746225538412884,8.422644082754976
9,5.771,NA,23.2,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,3.028929479316793,8.874763374398205
87,4.607,NA,23.3,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,2.418000019270918,7.08474005646379
104,7.759,NA,23.3,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,4.072338213484491,11.931950965509559
19,5.024,NA,23.3,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,2.6368639237718883,7.726011296651633
106,6.519,NA,23.3,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,3.4215198883497098,10.02505327286465
7,8.102,NA,23.3,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,4.252362959872579,12.459423472426659
74,5.415,NA,23.3,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,2.8420816375845495,8.32729919812273
63,4.897,NA,23.3,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,2.5702075307943746,7.530708065227518
81,6.228,NA,23.3,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,3.2687875233382404,9.577547443381045
32,7.186,NA,23.3,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,3.7715971648536604,11.050779693021225
23,4.899,NA,23.4,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,2.5712572377703986,7.533783706667268
56,5.547,NA,23.4,20230613,1,23.7,47.334,22.5,26.172,22.8,25.573,31.9,2.93,2.228916501275872,1.0247063840846802,2.9113622980021225,8.530291533146219
