coral_id,bouyantweight_g,bouyantweight_redo_if_applicable,temp_c,date,group,air_temp_c,air_weight_g,fresh_temp_c,fresh_weight_g,salt_temp_c,salt_weight_g,salinity_ppt,density_aragonite,density_stopper,density_sw,vol_coral_cm3,dry_mass_coral_g
69,4.843,NA,24.7,20230622,1,24.2,47.334,24.9,26.169,24.8,25.594,29.1,2.93,2.2286005669737774,1.0235724072761634,2.5403534959754186,7.4432357432079765
26,5.148,NA,24.7,20230622,1,24.2,47.334,24.9,26.169,24.8,25.594,29.1,2.93,2.2286005669737774,1.0235724072761634,2.700338591220618,7.911992072276411
15,5.456,NA,24.8,20230622,1,24.2,47.334,24.9,26.169,24.8,25.594,29.1,2.93,2.2286005669737774,1.0235724072761634,2.861897310353476,8.385359119335686
87,4.726,NA,24.8,20230622,1,24.2,47.334,24.9,26.169,24.8,25.594,29.1,2.93,2.2286005669737774,1.0235724072761634,2.478982164356768,7.2634177415653305
103,6.188,NA,24.8,20230622,1,24.2,47.334,24.9,26.169,24.8,25.594,29.1,2.93,2.2286005669737774,1.0235724072761634,3.245861538941955,9.510374309099928
41,6.788,NA,24.8,20230622,1,24.2,47.334,24.9,26.169,24.8,25.594,29.1,2.93,2.2286005669737774,1.0235724072761634,3.560586316473496,10.432517907267345
57,5.582,NA,24.8,20230622,1,24.2,47.334,24.9,26.169,24.8,25.594,29.1,2.93,2.2286005669737774,1.0235724072761634,2.927989513635099,8.57900927495084
59,5.407,NA,24.8,20230622,1,24.2,47.334,24.9,26.169,24.8,25.594,29.1,2.93,2.2286005669737774,1.0235724072761634,2.8361947868550668,8.310050725485347
19,5.114,NA,24.8,20230622,1,24.2,47.334,24.9,26.169,24.8,25.594,29.1,2.93,2.2286005669737774,1.0235724072761634,2.6825041871604975,7.859737268380258
106,6.683,NA,24.7,20230622,1,24.2,47.334,24.9,26.169,24.8,25.594,29.1,2.93,2.2286005669737774,1.0235724072761634,3.5055094804054763,10.271142777588047
9,5.943,NA,24.7,20230622,1,24.2,47.334,24.9,26.169,24.8,25.594,29.1,2.93,2.2286005669737774,1.0235724072761634,3.1173489214499095,9.133832339848235
49,6.136,NA,24.7,20230622,1,24.2,47.334,24.9,26.169,24.8,25.594,29.1,2.93,2.2286005669737774,1.0235724072761634,3.2185853915558886,9.430455197258754
104,8.003,8.024,24.8,20230622,1,24.2,47.334,24.9,26.169,24.8,25.594,29.1,2.93,2.2286005669737774,1.0235724072761634,4.197903990974866,12.299858693556358
85,6.564,NA,24.8,20230622,1,24.2,47.334,24.9,26.169,24.8,25.594,29.1,2.93,2.2286005669737774,1.0235724072761634,3.443089066195054,10.08825096395151
25,6.249,NA,25,20230622,1,24.2,47.334,24.9,26.169,24.8,25.594,29.1,2.93,2.2286005669737774,1.0235724072761634,3.277858557990995,9.604125574913615
90,5.629,NA,25,20230622,1,24.2,47.334,24.9,26.169,24.8,25.594,29.1,2.93,2.2286005669737774,1.0235724072761634,2.9526429545417363,8.651243856807287
52,4.36,NA,25,20230622,1,24.2,47.334,24.9,26.169,24.8,25.594,29.1,2.93,2.2286005669737774,1.0235724072761634,2.2870000500625283,6.700910146683208
5,10.268,10.185,25,20230622,1,24.2,47.334,24.9,26.169,24.8,25.594,29.1,2.93,2.2286005669737774,1.0235724072761634,5.385990026156431,15.780950776638345
7,8.326,NA,24.6,20230622,1,24.2,47.334,24.9,26.169,24.8,25.594,29.1,2.93,2.2286005669737774,1.0235724072761634,4.367330829546012,12.796279330569817
18,6.242,NA,24.6,20230622,1,24.2,47.334,24.9,26.169,24.8,25.594,29.1,2.93,2.2286005669737774,1.0235724072761634,3.274186768919794,9.593367232934996
