#,Date-Time (French Polynesia Standard Time),Ch:1 - Hot_sump   (°C),Chan 1 Alarm Tripped,Host Connected,Chan 1 Alarm Cleared,Button Down,Button Up,End of File
125,06/13/2023 10:18:45,29.43,,,,,,
126,06/13/2023 10:28:45,29.68,,,,,,
127,06/13/2023 10:38:45,29.94,,,,,,
128,06/13/2023 10:48:45,29.77,,,,,,
129,06/13/2023 10:58:45,29.56,,,,,,
130,06/13/2023 11:08:45,29.34,,,,,,
131,06/13/2023 11:18:45,29.68,,,,,,
132,06/13/2023 11:28:45,29.86,,,,,,
133,06/13/2023 11:38:45,29.98,,,,,,
134,06/13/2023 11:48:45,29.64,,,,,,
135,06/13/2023 11:58:45,29.47,,,,,,
136,06/13/2023 12:08:45,29.51,,,,,,
137,06/13/2023 12:18:45,29.73,,,,,,
138,06/13/2023 12:28:45,29.98,,,,,,
139,06/13/2023 12:38:45,29.73,,,,,,
140,06/13/2023 12:48:45,29.51,,,,,,
141,06/13/2023 12:58:45,29.47,,,,,,
142,06/13/2023 13:08:45,29.77,,,,,,
143,06/13/2023 13:18:45,29.98,,,,,,
144,06/13/2023 13:28:45,29.73,,,,,,
145,06/13/2023 13:38:45,29.60,,,,,,
146,06/13/2023 13:48:45,29.38,,,,,,
147,06/13/2023 13:58:45,29.56,,,,,,
148,06/13/2023 14:08:45,29.86,,,,,,
149,06/13/2023 14:18:45,29.73,,,,,,
150,06/13/2023 14:28:45,29.51,,,,,,
151,06/13/2023 14:38:45,29.43,,,,,,
152,06/13/2023 14:48:45,29.73,,,,,,
153,06/13/2023 14:58:45,29.90,,,,,,
154,06/13/2023 15:08:45,29.68,,,,,,
155,06/13/2023 15:18:45,29.47,,,,,,
156,06/13/2023 15:28:45,29.34,,,,,,
157,06/13/2023 15:38:45,29.64,,,,,,
158,06/13/2023 15:48:45,29.90,,,,,,
159,06/13/2023 15:58:45,29.73,,,,,,
160,06/13/2023 16:08:45,29.43,,,,,,
161,06/13/2023 16:18:45,29.38,,,,,,
162,06/13/2023 16:28:45,29.64,,,,,,
163,06/13/2023 16:38:45,29.90,,,,,,
164,06/13/2023 16:48:45,29.64,,,,,,
165,06/13/2023 16:58:45,29.38,,,,,,
166,06/13/2023 17:08:45,29.43,,,,,,
167,06/13/2023 17:18:45,29.64,,,,,,
168,06/13/2023 17:28:45,29.81,,,,,,
169,06/13/2023 17:38:45,29.60,,,,,,
170,06/13/2023 17:48:45,29.30,,,,,,
171,06/13/2023 17:58:45,29.51,,,,,,
172,06/13/2023 18:08:45,29.64,,,,,,
173,06/13/2023 18:18:45,29.77,,,,,,
174,06/13/2023 18:28:45,29.64,,,,,,
175,06/13/2023 18:38:45,29.38,,,,,,
176,06/13/2023 18:48:45,29.38,,,,,,
177,06/13/2023 18:58:45,29.60,,,,,,
178,06/13/2023 19:08:45,29.68,,,,,,
179,06/13/2023 19:18:45,29.81,,,,,,
180,06/13/2023 19:28:45,29.60,,,,,,
181,06/13/2023 19:38:45,29.34,,,,,,
182,06/13/2023 19:48:45,29.51,,,,,,
183,06/13/2023 19:58:45,29.60,,,,,,
184,06/13/2023 20:08:45,29.73,,,,,,
185,06/13/2023 20:18:45,29.77,,,,,,
186,06/13/2023 20:28:45,29.51,,,,,,
187,06/13/2023 20:38:45,29.30,,,,,,
188,06/13/2023 20:48:45,29.56,,,,,,
189,06/13/2023 20:58:45,29.73,,,,,,
190,06/13/2023 21:08:45,29.77,,,,,,
191,06/13/2023 21:18:45,29.56,,,,,,
192,06/13/2023 21:28:45,29.30,,,,,,
193,06/13/2023 21:38:45,29.56,,,,,,
194,06/13/2023 21:48:45,29.64,,,,,,
195,06/13/2023 21:58:45,29.77,,,,,,
196,06/13/2023 22:08:45,29.68,,,,,,
197,06/13/2023 22:18:45,29.38,,,,,,
198,06/13/2023 22:28:45,29.47,,,,,,
199,06/13/2023 22:38:45,29.64,,,,,,
200,06/13/2023 22:48:45,29.81,,,,,,
201,06/13/2023 22:58:45,29.64,,,,,,
202,06/13/2023 23:08:45,29.38,,,,,,
203,06/13/2023 23:18:45,29.38,,,,,,
