#,Date-Time (French Polynesia Standard Time),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,06/12/2023 15:18:08,29.86,,,,
2,06/12/2023 15:28:08,28.40,,,,
3,06/12/2023 15:38:08,28.40,,,,
4,06/12/2023 15:48:08,28.35,,,,
5,06/12/2023 15:58:08,28.40,,,,
6,06/12/2023 16:08:08,28.40,,,,
7,06/12/2023 16:18:08,28.35,,,,
8,06/12/2023 16:28:08,28.35,,,,
9,06/12/2023 16:38:08,28.27,,,,
10,06/12/2023 16:48:08,28.18,,,,
11,06/12/2023 16:58:08,28.18,,,,
12,06/12/2023 17:08:08,28.14,,,,
13,06/12/2023 17:18:08,28.14,,,,
14,06/12/2023 17:28:08,28.05,,,,
15,06/12/2023 17:38:08,27.97,,,,
16,06/12/2023 17:48:08,27.93,,,,
17,06/12/2023 17:58:08,27.84,,,,
18,06/12/2023 18:08:08,27.84,,,,
19,06/12/2023 18:18:08,27.80,,,,
20,06/12/2023 18:28:08,27.75,,,,
21,06/12/2023 18:38:08,27.80,,,,
22,06/12/2023 18:48:08,27.80,,,,
23,06/12/2023 18:58:08,27.80,,,,
24,06/12/2023 19:08:08,27.80,,,,
25,06/12/2023 19:18:08,27.75,,,,
26,06/12/2023 19:28:08,27.71,,,,
27,06/12/2023 19:38:08,27.67,,,,
28,06/12/2023 19:48:08,27.63,,,,
29,06/12/2023 19:58:08,27.67,,,,
30,06/12/2023 20:08:08,27.67,,,,
31,06/12/2023 20:18:08,27.67,,,,
32,06/12/2023 20:28:08,27.67,,,,
33,06/12/2023 20:38:08,27.71,,,,
34,06/12/2023 20:48:08,27.71,,,,
35,06/12/2023 20:58:08,27.71,,,,
36,06/12/2023 21:08:08,27.71,,,,
37,06/12/2023 21:18:08,27.67,,,,
38,06/12/2023 21:28:08,27.71,,,,
39,06/12/2023 21:38:08,27.67,,,,
40,06/12/2023 21:48:08,27.67,,,,
41,06/12/2023 21:58:08,27.71,,,,
42,06/12/2023 22:08:08,27.67,,,,
43,06/12/2023 22:18:08,27.67,,,,
44,06/12/2023 22:28:08,27.67,,,,
45,06/12/2023 22:38:08,27.63,,,,
46,06/12/2023 22:48:08,27.58,,,,
47,06/12/2023 22:58:08,27.63,,,,
48,06/12/2023 23:08:08,27.63,,,,
49,06/12/2023 23:18:08,27.58,,,,
50,06/12/2023 23:28:08,27.58,,,,
51,06/12/2023 23:38:08,27.58,,,,
52,06/12/2023 23:48:08,27.58,,,,
53,06/12/2023 23:58:08,27.54,,,,
54,06/13/2023 00:08:08,27.54,,,,
55,06/13/2023 00:18:08,27.54,,,,
56,06/13/2023 00:28:08,27.50,,,,
57,06/13/2023 00:38:08,27.45,,,,
58,06/13/2023 00:48:08,27.45,,,,
59,06/13/2023 00:58:08,27.41,,,,
60,06/13/2023 01:08:08,27.37,,,,
61,06/13/2023 01:18:08,27.41,,,,
62,06/13/2023 01:28:08,27.41,,,,
63,06/13/2023 01:38:08,27.32,,,,
64,06/13/2023 01:48:08,27.37,,,,
65,06/13/2023 01:58:08,27.37,,,,
66,06/13/2023 02:08:08,27.28,,,,
67,06/13/2023 02:18:08,27.32,,,,
68,06/13/2023 02:28:08,27.32,,,,
69,06/13/2023 02:38:08,27.28,,,,
70,06/13/2023 02:48:08,27.28,,,,
71,06/13/2023 02:58:08,27.32,,,,
72,06/13/2023 03:08:08,27.24,,,,
73,06/13/2023 03:18:08,27.24,,,,
74,06/13/2023 03:28:08,27.28,,,,
75,06/13/2023 03:38:08,27.24,,,,
76,06/13/2023 03:48:08,27.24,,,,
77,06/13/2023 03:58:08,27.28,,,,
