#,Date-Time (French Polynesia Standard Time),Ch:1 - Temperature   (°C),Button Down,Button Up,Host Connected,End of File
1,07/04/2023 20:35:50,26.47,,,,
2,07/04/2023 20:45:50,27.93,,,,
3,07/04/2023 20:55:50,27.97,,,,
4,07/04/2023 21:05:50,27.97,,,,
5,07/04/2023 21:15:50,27.97,,,,
6,07/04/2023 21:25:50,27.97,,,,
7,07/04/2023 21:35:50,27.93,,,,
8,07/04/2023 21:45:50,27.93,,,,
9,07/04/2023 21:55:50,27.93,,,,
10,07/04/2023 22:05:50,27.88,,,,
11,07/04/2023 22:15:50,27.88,,,,
12,07/04/2023 22:25:50,27.93,,,,
13,07/04/2023 22:35:50,27.88,,,,
14,07/04/2023 22:45:50,27.93,,,,
15,07/04/2023 22:55:50,27.88,,,,
16,07/04/2023 23:05:50,27.80,,,,
17,07/04/2023 23:15:50,27.80,,,,
18,07/04/2023 23:25:50,27.71,,,,
19,07/04/2023 23:35:50,27.67,,,,
20,07/04/2023 23:45:50,27.67,,,,
21,07/04/2023 23:55:50,27.67,,,,
22,07/05/2023 00:05:50,27.58,,,,
23,07/05/2023 00:15:50,27.58,,,,
24,07/05/2023 00:25:50,27.54,,,,
25,07/05/2023 00:35:50,27.50,,,,
26,07/05/2023 00:45:50,27.45,,,,
27,07/05/2023 00:55:50,27.41,,,,
28,07/05/2023 01:05:50,27.37,,,,
29,07/05/2023 01:15:50,27.37,,,,
30,07/05/2023 01:25:50,27.37,,,,
31,07/05/2023 01:35:50,27.41,,,,
32,07/05/2023 01:45:50,27.37,,,,
33,07/05/2023 01:55:50,27.37,,,,
34,07/05/2023 02:05:50,27.32,,,,
35,07/05/2023 02:15:50,27.28,,,,
36,07/05/2023 02:25:50,27.28,,,,
37,07/05/2023 02:35:50,27.24,,,,
38,07/05/2023 02:45:50,27.15,,,,
39,07/05/2023 02:55:50,27.11,,,,
40,07/05/2023 03:05:50,27.07,,,,
41,07/05/2023 03:15:50,27.15,,,,
42,07/05/2023 03:25:50,27.24,,,,
43,07/05/2023 03:35:50,27.20,,,,
44,07/05/2023 03:45:50,27.20,,,,
45,07/05/2023 03:55:50,27.32,,,,
46,07/05/2023 04:05:50,27.32,,,,
47,07/05/2023 04:15:50,27.37,,,,
48,07/05/2023 04:25:50,27.32,,,,
49,07/05/2023 04:35:50,27.32,,,,
50,07/05/2023 04:45:50,27.32,,,,
51,07/05/2023 04:55:50,27.20,,,,
52,07/05/2023 05:05:50,27.15,,,,
53,07/05/2023 05:15:50,27.15,,,,
54,07/05/2023 05:25:50,27.15,,,,
55,07/05/2023 05:35:50,27.11,,,,
56,07/05/2023 05:45:50,27.02,,,,
57,07/05/2023 05:55:50,27.02,,,,
58,07/05/2023 06:05:50,27.07,,,,
59,07/05/2023 06:15:50,26.98,,,,
60,07/05/2023 06:25:50,26.98,,,,
61,07/05/2023 06:35:50,26.98,,,,
62,07/05/2023 06:45:50,26.98,,,,
63,07/05/2023 06:55:50,26.98,,,,
64,07/05/2023 07:05:50,27.02,,,,
65,07/05/2023 07:15:50,27.02,,,,
66,07/05/2023 07:25:50,27.02,,,,
67,07/05/2023 07:35:50,27.02,,,,
68,07/05/2023 07:45:50,27.07,,,,
69,07/05/2023 07:55:50,27.07,,,,
70,07/05/2023 08:05:50,27.07,,,,
71,07/05/2023 08:15:50,27.24,,,,
72,07/05/2023 08:25:50,27.24,,,,
73,07/05/2023 08:35:50,27.32,,,,
74,07/05/2023 08:45:50,27.45,,,,
75,07/05/2023 08:55:50,27.50,,,,
76,07/05/2023 09:05:50,27.58,,,,
77,07/05/2023 09:15:50,27.71,,,,
78,07/05/2023 09:25:50,27.67,,,,
79,07/05/2023 09:35:50,27.80,,,,
80,07/05/2023 09:45:50,27.75,,,,
81,07/05/2023 09:55:50,27.80,,,,
82,07/05/2023 10:05:50,27.80,,,,
83,07/05/2023 10:15:50,27.93,,,,
84,07/05/2023 10:25:50,28.01,,,,
85,07/05/2023 10:35:50,28.14,,,,
86,07/05/2023 10:45:50,28.27,,,,
87,07/05/2023 10:55:50,28.40,,,,
88,07/05/2023 11:05:50,28.53,,,,
89,07/05/2023 11:15:50,28.61,,,,
90,07/05/2023 11:25:50,28.61,,,,
91,07/05/2023 11:35:50,28.74,,,,
92,07/05/2023 11:45:50,28.78,,,,
93,07/05/2023 11:55:50,28.83,,,,
94,07/05/2023 12:05:50,28.91,,,,
95,07/05/2023 12:15:50,28.95,,,,
96,07/05/2023 12:25:50,29.00,,,,
97,07/05/2023 12:35:50,29.00,,,,
98,07/05/2023 12:45:50,29.00,,,,
99,07/05/2023 12:55:50,29.00,,,,
100,07/05/2023 13:05:50,29.04,,,,
101,07/05/2023 13:15:50,29.00,,,,
102,07/05/2023 13:25:50,29.08,,,,
103,07/05/2023 13:35:50,29.04,,,,
104,07/05/2023 13:45:50,29.13,,,,
105,07/05/2023 13:55:50,29.17,,,,
