genotype,coral_id,wound,temp
65,57,0,A
65,58,0,H
65,69,1,A
65,56,1,H
65,59,2,A
65,63,2,H
66,103,0,A
66,97,0,H
66,106,1,A
66,92,1,H
66,104,2,A
66,98,2,H
67,90,0,A
67,81,0,H
67,85,1,A
67,74,1,H
67,87,2,A
67,76,2,H
68,15,0,A
68,18,0,H
68,17,1,A
68,3,1,H
68,9,2,A
68,7,2,H
69,41,0,A
69,51,0,H
69,52,1,A
69,46,1,H
69,49,2,A
69,43,2,H
70,19,0,A
70,32,0,H
70,26,1,A
70,23,1,H
70,25,2,A
70,24,2,H
65,68,0,A
65,60,0,H
65,67,1,A
65,70,1,H
65,62,2,A
65,55,2,H
66,108,0,A
66,99,0,H
66,91,1,A
66,96,1,H
66,101,2,A
66,94,2,H
67,77,0,A
67,89,0,H
67,75,1,A
67,84,1,H
67,78,2,A
67,73,2,H
68,11,0,A
68,5,0,H
68,12,1,A
68,2,1,H
68,16,2,A
68,14,2,H
69,37,0,A
69,47,0,H
69,54,1,A
69,50,1,H
69,42,2,A
69,45,2,H
70,34,0,A
70,28,0,H
70,20,1,A
70,35,1,H
70,29,2,A
70,33,2,H
65,64,0,A
65,61,0,H
65,71,1,A
65,72,1,H
65,65,2,A
65,66,2,H
66,107,0,A
66,95,0,H
66,105,1,A
66,100,1,H
66,102,2,A
66,93,2,H
67,83,0,A
67,86,0,H
67,88,1,A
67,80,1,H
67,82,2,A
67,79,2,H
68,1,0,A
68,8,0,H
68,6,1,A
68,10,1,H
68,4,2,A
68,13,2,H
69,53,0,A
69,40,0,H
69,38,1,A
69,48,1,H
69,44,2,A
69,39,2,H
70,21,0,A
70,36,0,H
70,22,1,A
70,30,1,H
70,27,2,A
70,31,2,H
NA,20230605_blank,NA,A
NA,20230605_blank2,NA,A
NA,20230605_blank3,NA,A
NA,20230605_blank4,NA,A
NA,20230606_blank,NA,A
NA,20230606_blank2,NA,A
NA,20230606_blank3,NA,A
NA,20230606_blank4,NA,A
NA,20230607_blank,NA,A
NA,20230607_blank2,NA,A
NA,20230607_blank3,NA,A
NA,20230607_blank4,NA,A
